"Thema"
2
17
17
9
4
17
17
17
17
13
6
9
7
17
17
4
17
13
10
7
10
11
4
2
17
17
17
17
12
17
4
10
4
11
17
13
17
11
10
17
12
17
13
12
17
7
10
17
6
7
17
4
13
9
12
9
4
17
10
4
17
4
2
17
13
17
17
2
10
13
4
12
17
17
15
17
10
4
4
10
4
4
12
4
10
13
13
10
13
9
12
10
10
13
17
11
11
10
10
4
13
11
10
4
2
12
17
12
2
10
11
10
4
15
2
10
4
4
4
4
2
17
17
10
9
17
9
13
9
13
4
12
11
17
17
2
9
17
4
12
6
17
10
4
11
17
4
4
11
10
2
10
2
4
17
10
4
11
11
4
2
10
17
10
6
4
12
2
12
17
10
17
11
17
10
4
17
17
17
10
2
4
11
17
18
10
10
17
2
10
4
12
17
17
6
17
10
4
13
17
11
11
17
10
10
12
4
13
2
12
4
10
10
10
10
13
9
12
10
2
4
2
10
12
13
10
2
17
12
13
12
2
17
11
17
4
10
9
17
9
10
4
17
4
4
4
12
2
10
13
17
8
9
17
13
4
12
2
10
2
13
4
12
11
10
2
2
4
4
10
9
17
17
10
4
17
11
4
4
11
10
13
17
4
4
17
17
11
4
2
10
2
4
11
4
11
10
2
17
6
17
17
12
11
10
13
10
2
17
13
10
11
4
4
2
10
17
4
2
4
11
11
4
10
18
10
2
11
11
13
13
10
17
4
10
13
10
2
10
9
4
2
12
10
13
17
9
2
17
13
12
4
4
11
4
10
2
17
11
13
4
2
4
10
11
4
4
10
4
17
4
4
9
11
17
4
2
4
4
10
4
17
12
11
2
4
4
8
12
9
10
4
17
17
9
17
12
2
4
15
3
17
4
10
2
10
4
4
17
12
17
4
12
10
4
13
11
17
13
10
10
11
13
12
12
12
10
4
12
10
10
11
2
10
4
4
4
4
4
4
4
2
10
4
10
4
10
13
2
12
11
2
13
4
13
11
4
11
2
4
10
2
10
2
4
4
13
11
10
11
4
9
4
10
17
4
10
4
4
11
13
4
10
10
9
4
4
12
2
4
2
10
11
4
4
10
12
9
12
4
15
10
13
9
4
2
4
4
2
12
4
4
4
10
10
2
10
4
12
10
10
4
4
4
9
11
12
4
11
4
10
4
4
10
11
9
4
4
10
4
4
10
2
4
4
4
10
10
4
4
4
12
4
10
4
10
4
17
12
8
10
2
10
2
12
2
10
17
10
10
10
12
4
13
4
10
10
11
9
11
10
14
17
4
9
12
12
10
12
4
10
13
2
12
10
10
4
10
4
13
17
11
10
4
2
2
10
9
13
17
4
9
12
4
12
6
4
2
4
4
17
4
13
11
12
10
4
10
13
9
13
12
10
4
11
10
2
13
4
11
13
10
2
4
2
4
13
11
10
9
4
10
10
4
11
2
4
4
10
10
10
4
4
11
11
4
10
10
11
2
13
11
12
11
10
13
10
2
2
10
10
2
12
4
4
4
12
2
15
10
10
10
10
2
10
7
13
9
10
12
2
12
10
13
10
10
10
12
4
13
10
10
11
9
11
10
10
17
12
2
10
10
11
10
13
4
2
12
4
2
10
10
10
17
10
4
4
4
2
12
4
2
4
15
10
13
10
17
4
9
17
13
12
4
11
10
2
4
4
13
2
12
10
4
10
13
9
10
17
4
11
10
9
4
10
4
17
2
11
10
13
10
13
11
2
10
4
2
10
4
2
11
11
2
4
4
4
10
10
10
4
11
10
13
10
2
2
13
10
2
12
4
4
13
10
10
6
2
13
11
4
2
10
2
10
11
4
4
10
